"Date","chickens"
"1965","20.03"
"1966","21.19"
"1967","22.42"
"1968","23.73"
"1969","23.44"
"1970","23.16"
"1971","22.89"
"1972","22.61"
"1973","22.34"
"1974","23.68"
"1975","25.10"
"1976","26.61"
"1977","28.20"
"1978","29.89"
"1979","31.79"
"1980","33.80"
"1981","35.94"
"1982","38.21"
"1983","40.63"
"1984","43.21"
"1985","45.94"
"1986","48.85"
"1987","51.95"
"1988","55.24"
"1989","58.74"
"1990","71.15"
"1991","86.20"
"1992","104.42"
"1993","111.75"
"1994","87.30"
"1995","122.61"
"1996","153.77"
"1997","233.04"
"1998","321.83"
"1999","286.67"
"2000","376.13"
"2001","214.21"
"2002","188.47"
"2003","227.46"
"2004","256.60"
"2005","307.99"
"2006","341.38"
"2007","345.31"
"2008","239.29"
"2009","195.83"
"2010","229.72"
"2011","235.53"
"2012","285.32"
"2013","303.12"
"2014","303.42"
""
