"date","Athex Composite","Athex Banks"
"12/31/2014","0.00%","0.00%"
"01/01/2015","0.00%","0.00%"
"01/02/2015","1.22%","1.85%"
"01/05/2015","-4.48%","-4.61%"
"01/06/2015","-4.48%","-4.61%"
"01/07/2015","-5.87%","-5.53%"
"01/08/2015","-7.81%","-7.27%"
"01/09/2015","-5.64%","-5.61%"
"01/12/2015","-2.08%","-0.70%"
"1/13/2015","1.12%","4.28%"
"1/14/2015","-0.80%","3.44%"
"1/15/2015","-2.56%","-0.62%"
"1/16/2015","-4.31%","-5.23%"
"1/19/2015","-1.74%","-5.60%"
"1/20/2015","-2.91%","-5.76%"
"1/21/2015","-5.24%","-9.81%"
"1/22/2015","-4.16%","-8.52%"
"1/23/2015","1.73%","-0.19%"
"1/26/2015","-1.53%","-13.42%"
"1/27/2015","-5.16%","-23.52%"
"1/28/2015","-13.93%","-43.92%"
"1/29/2015","-11.20%","-36.68%"
"1/30/2015","-12.62%","-37.69%"
"02/02/2015","-8.56%","-33.55%"
"02/03/2015","1.74%","-21.62%"
"02/04/2015","2.65%","-14.36%"
"02/05/2015","-0.81%","-22.95%"
"02/06/2015","-2.76%","-30.48%"
"02/09/2015","-7.38%","-37.30%"
"02/10/2015","0.02%","-27.39%"
"02/11/2015","-4.01%","-31.04%"
"02/12/2015","2.46%","-21.31%"
"2/13/2015","8.21%","-11.32%"
"2/16/2015","4.06%","-21.52%"
"2/17/2015","1.50%","-26.51%"
"2/18/2015","2.58%","-22.36%"
"2/19/2015","3.67%","-18.19%"
"2/20/2015","3.39%","-17.58%"
"2/23/2015","3.39%","-17.58%"
"2/24/2015","13.53%","-3.36%"
"2/25/2015","11.72%","-12.50%"
"2/26/2015","9.49%","-15.41%"
"2/27/2015","6.57%","-22.36%"
"03/02/2015","3.97%","-30.05%"
"03/03/2015","4.24%","-26.86%"
"03/04/2015","2.78%","-30.19%"
"03/05/2015","3.80%","-25.79%"
"03/06/2015","2.92%","-28.42%"
"03/09/2015","-1.39%","-34.66%"
"03/10/2015","-1.06%","-34.59%"
"03/11/2015","-3.50%","-38.39%"
"03/12/2015","-3.89%","-38.25%"
"3/13/2015","-6.78%","-41.56%"
"3/16/2015","-7.64%","-40.08%"
"3/17/2015","-6.83%","-39.26%"
"3/18/2015","-10.68%","-44.28%"
"3/19/2015","-12.41%","-45.65%"
"3/20/2015","-9.90%","-39.65%"
"3/23/2015","-7.22%","-34.49%"
"3/24/2015","-3.83%","-33.84%"
"3/25/2015","-3.83%","-33.84%"
"3/26/2015","-7.42%","-41.70%"
"3/27/2015","-6.96%","-41.42%"
"3/30/2015","-6.47%","-42.66%"
"3/31/2015","-6.14%","-41.53%"
"04/01/2015","-7.36%","-41.55%"
"04/02/2015","-6.64%","-41.80%"
"04/03/2015","-6.64%","-41.80%"
"04/06/2015","-6.64%","-41.80%"
"04/07/2015","-5.90%","-41.59%"
"04/08/2015","-7.05%","-42.39%"
"04/09/2015","-6.07%","-40.95%"
"04/10/2015","-6.07%","-40.95%"
"4/13/2015","-6.07%","-40.95%"
"4/14/2015","-8.18%","-45.84%"
"4/15/2015","-9.95%","-48.59%"
"4/16/2015","-8.93%","-49.92%"
"4/17/2015","-11.66%","-52.65%"
"4/20/2015","-11.76%","-52.23%"
"4/21/2015","-14.70%","-54.02%"
"4/22/2015","-12.92%","-47.86%"
"4/23/2015","-10.84%","-45.79%"
"4/24/2015","-7.82%","-41.41%"
"4/27/2015","-3.79%","-35.94%"
"4/28/2015","-2.44%","-34.29%"
"4/29/2015","-3.41%","-36.34%"
"4/30/2015","-0.40%","-32.30%"
"05/01/2015","-0.40%","-32.30%"
"05/04/2015","-0.02%","-31.80%"
"05/05/2015","-3.87%","-38.38%"
"05/06/2015","-1.12%","-32.76%"
"05/07/2015","1.86%","-26.48%"
"05/08/2015","1.55%","-27.98%"
"05/11/2015","-1.00%","-32.81%"
"05/12/2015","0.35%","-30.60%"
"5/13/2015","0.33%","-29.96%"
"5/14/2015","0.88%","-30.05%"
"5/15/2015","-1.72%","-34.18%"
"5/18/2015","-0.13%","-31.35%"
"5/19/2015","2.45%","-29.12%"
"5/20/2015","1.72%","-30.40%"
"5/21/2015","2.37%","-28.52%"
"5/22/2015","1.70%","-30.52%"
"5/25/2015","-1.47%","-33.71%"
"5/26/2015","-0.43%","-33.27%"
"5/27/2015","3.10%","-27.19%"
"5/28/2015","1.36%","-28.04%"
"5/29/2015","-0.10%","-27.92%"
"06/01/2015","-0.10%","-27.92%"
"06/02/2015","-2.57%","-30.50%"
"06/03/2015","1.46%","-24.28%"
"06/04/2015","0.11%","-26.61%"
"06/05/2015","-4.85%","-34.94%"
"06/08/2015","-7.45%","-36.91%"
"06/09/2015","-6.88%","-36.22%"
"06/10/2015","-7.88%","-39.72%"
"06/11/2015","-0.37%","-29.17%"
"06/12/2015","-6.26%","-37.52%"
"6/15/2015","-10.64%","-42.51%"
"6/16/2015","-14.90%","-47.60%"
"6/17/2015","-17.59%","-48.32%"
"6/18/2015","-17.28%","-47.73%"
"6/19/2015","-16.81%","-48.56%"
"6/22/2015","-9.32%","-37.86%"
