"date","Brooklyn","Crown Heights"
"1/1/2008","532,000","535,000"
"4/1/2008","508,231","520,000"
"7/1/2008","509,125","463,185"
"10/1/2008","491,790","471,510"
"1/1/2009","460,000","508,106"
"4/1/2009","450,000","499,000"
"7/1/2009","475,000","440,000"
"10/1/2009","446,667","475,000"
"1/1/2010","470,000","477,500"
"4/1/2010","450,000","402,500"
"7/1/2010","475,000","412,835"
"10/1/2010","455,800","435,000"
"1/1/2011","460,000","350,000"
"4/1/2011","483,678","445,000"
"7/1/2011","492,450","354,900"
"10/1/2011","450,000","415,740"
"1/1/2012","456,300","378,450"
"4/1/2012","491,790","420,000"
"7/1/2012","514,108","456,000"
"10/1/2012","500,000","505,465"
"1/1/2013","480,000","395,000"
"4/1/2013","500,000","535,000"
"7/1/2013","540,000","476,486"
"10/1/2013","505,000","515,000"
"1/1/2014","517,500","460,000"
"4/1/2014","548,836","630,000"
"7/1/2014","560,000","450,000"
"10/1/2014","570,000","600,000"
